confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,ls_current_type_id,our_category,our_sku,our_name
REVIEW,0.55,sku_match,8b1c9bfb-5c55-48f4-b5ea-71872290f15b,Scully Shirt (M-SSI-RW032-WHI-S),M-SSI-RW032-WHI-S,,,Apparel - Woven Shirt,M-SSI-RW032-WHI-S,Scully Shirt
REVIEW,0.56,sku_match,15c99767-f8c2-411c-af92-93dfe86e5867,Outback Hoodie (M-OTC-40133-NAV-3XL),M-OTC-40133-NAV-3XL,,,Apparel- hoodie ,M-OTC-40133-NAV-3XL,Outback Hoodie
REVIEW,0.27,sku_match,a92dac8e-16ed-4789-b1c2-cf89fc59ac26,Wrangler® Western Casuals - Flat Front - 00096 (LT-00096),LT-00096,,,Cards,LT-00096,Card 00096
REVIEW,0.27,sku_match,0d28c5a7-8c8a-4cd6-a8f7-c492421b9da3,Chaps (A-CGL-230-1SM-BLA-29-Ins),A-CGL-230-1SM-BLA-29-Ins,,,Chaps,A-CGL-230-1SM-BLA-29-Ins,Chaps
REVIEW,0.34,sku_match,e3b120cd-1eaf-4192-8275-c96499b03787,Chaps (K-CGL-158L-BLA-L),K-CGL-158L-BLA-L,,,Chaps,K-CGL-158L-BLA-L,Chaps
REVIEW,0.45,sku_match,7403b89b-92f4-4daa-a9d0-96bc40f91030,Congress (K-GEN-137-M),K-CGL-137-BLA-XL,,,Chaps,K-CGL-137-BLA-XL,Congress Leather Chaps
REVIEW,0.53,sku_match,c870eb04-3008-4a69-a71b-5620c171a38c,Congress (K-GEN-137-M),K-GEN-137-M,,,Chaps,K-GEN-137-M,Congress
REVIEW,0.6,sku_match,28ce74e7-f596-4214-8d44-7669d8a3c8ca,Congress Chaps (A-CGL-230-ACID-2),A-CGL-230-ACID-2,,,Chaps,A-CGL-230-ACID-2,Congress Chaps
REVIEW,0.55,sku_match,06e6d0eb-4b2c-4fdd-8c3f-3cb88ed2e7c8,Congress Chaps (A-CGL-230-BLA-Custom),A-CGL-230-BLA-Custom,,,Chaps,A-CGL-230-BLA-Custom,Congress Chaps
REVIEW,0.55,sku_match,78d46208-29da-4782-85b0-4f3b67849c78,Congress Chaps (K-CGL-155-AL16-BLA-L),K-CGL-155-AL16-BLA-L,,,Chaps,K-CGL-155-AL16-BLA-L,Congress Chaps
REVIEW,0.6,sku_match,9fc01f59-7153-404c-8147-8c6fb8bc1535,Congress Chaps (W-CGL-137S-BLA-S),W-CGL-137S-BLA-S,,,Chaps,W-CGL-137S-BLA-S,Congress Chaps
REVIEW,0.53,sku_match,4e81134d-6d05-43ee-89a7-e46001e7f81b,Oster Accessory Blade Set (A-OST-76913-696-Narrow-Blade-1/125-0.2-mm),A-OST-76913-696-Narrow-Blade-1/125-0.2-mm,,,Clipper,A-OST-76913-696-Narrow-Blade-1/125-0.2-mm,Oster Accessory Blade Set
REVIEW,0.57,sku_match,ea1e0fa4-4917-4883-8041-bad98892f5fb,Oster Blades (A-OST-EAR913-68),A-OST-EAR913-68,,,Clipper,A-OST-EAR913-68,Oster Blades
REVIEW,0.58,sku_match,15b9dffe-44fb-4207-b8f9-64e1bd665a1b,Wahl Blades (A-GEN-1026-94),A-GEN-1026-94,,,Clipper,A-GEN-1026-94,Wahl Blades
