style,orphan_sku,orphan_ls_id_being_deleted,source_pid,existing_sibling_skus,sibling_count,action_taken,review_note
T71010277-7.5,A-MFW-T71010277-7.5-CRE-7-1/2,c315d408-174b-43e3-b323-ef1013e00f5a,4209,T71010277-7.5,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010277-7.625,A-MFW-T71010277-7.625-CRE-7-5/8,ae2e8bff-8d83-4a33-bd2b-f78241a66551,4210,T71010277-7.625,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010149-6.875,A-MFW-T71010149-6.875-BEI-6-7/8,ebfb0262-fded-48d5-98be-f00f5232ce1d,4223,T71010149-6.875,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010149-7.625,A-MFW-T71010149-7.625-BEI-7-5/8,56f407b7-5e46-4017-abd5-d35d1df520d7,4228,T71010149-7.625,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010149-7.375,A-MFW-T71010149-7.375-BEI-7-3/8,de859e78-4e7d-452e-894a-1a23c58557f2,4229,T71010149-7.375,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010149-7.5,A-MFW-T71010149-7.5-BEI-7-1/2,94c96202-deed-45d5-b298-aba0d6988641,4230,T71010149-7.5,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010277-7.75,A-MFW-T71010277-7.75-BEI-7-3/4,860469f5-5947-4d51-b3ae-04566ec1c198,4234,T71010277-7.75,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010277-7.875,A-MFW-T71010277-7.875-BEI-7-7/8,cf522678-c97b-4af8-b208-1ae4fd15c177,4240,T71010277-7.875,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010149-7.875,A-MFW-T71010149-7.875-BEI-7-7/8,6df0cb8d-f0a0-40d6-8dc8-4d2cbf7525a0,4242,T71010149-7.875,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RFCTLM-7540B574,A-RHE-RFCTLM-7540B574-B5-7-1/2,590f7d0d-a12c-46a2-ab15-3dd6d19952c2,4280,RFCTLM-7540B574,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
SFGUSS-50400774,A-RHE-SFGUSS-50400774-BLA-7-1/2,763f613e-84d1-4d97-bc32-d561b4307e13,4283,SFGUSS-50400774,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
SFSKYL-75400766,A-RHE-SFSKYL-75400766-BLA-6-3/4,bfa2ea4b-1e0f-4e37-8fae-b99607d88527,4287,SFSKYL-75400766,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
SFSKYL-75400773,A-RHE-SFSKYL-75400773-BLA-7-3/8,b7821f2c-6284-4db3-bd09-decc6990a4b9,4288,SFSKYL-75400773,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
