source,ls_product_id,sku,new_name,color_code,size,length,ls_barcode,ss_upc,upc_match,ls_supply_price,ss_supply_price,supply_match,ls_retail_price,status
per_color_family,7ce54d46-8678-4a52-865d-82e0b615e231,M-Kon-1013MWZWK-31-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,31,30,084084494399,084084494399,True,30.0,30.0,True,59.95,CLEAN
per_color_family,c0840617-1875-475e-bd12-652c5058f606,M-Kon-1013MWZWK-31-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,31,32,084084494405,084084494405,True,30.0,30.0,True,59.95,CLEAN
per_color_family,0369d460-4980-4dfa-887e-78b0bb7d86ff,M-Kon-1013MWZWK-31-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,31,34,084084494412,084084494412,True,30.0,30.0,True,59.95,CLEAN
per_color_family,1870745c-bd0b-403d-9d80-004635198f0f,M-Kon-1013MWZWK-31-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,31,36,084084494429,084084494429,True,30.0,30.0,True,59.95,CLEAN
per_color_family,251b9a98-6eb4-4e5d-b492-8d193003ad96,M-Kon-1013MWZWK-31-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,31,38,084084494436,084084494436,True,31.25,31.25,True,63.95,CLEAN
per_color_family,704b1c3c-a325-4eea-8f2b-08fd5732db28,M-Kon-1013MWZWK-31-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,31,40,084084821096,084084821096,True,31.25,31.25,True,63.95,CLEAN
per_color_family,6bf70c52-8d67-4a09-9236-354b8ee6efd7,M-Kon-1013MWZWK-32-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,32,30,084084494443,084084494443,True,30.0,30.0,True,59.95,CLEAN
per_color_family,2ca13ac9-1f12-43ff-a8a4-fb09d872ee9d,M-Kon-1013MWZWK-32-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,32,32,084084494450,084084494450,True,30.0,30.0,True,59.95,CLEAN
per_color_family,e4ddfd31-b987-45a6-ac3c-0fe4e3a1f206,M-Kon-1013MWZWK-32-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,32,34,084084494467,084084494467,True,30.0,30.0,True,59.95,CLEAN
per_color_family,30a51b0b-6bf5-4abc-83a9-15f18ec981dc,M-Kon-1013MWZWK-32-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,32,36,084084494474,084084494474,True,30.0,30.0,True,59.95,CLEAN
per_color_family,9adf9243-09d6-4848-b589-f0156a9056ec,M-Kon-1013MWZWK-32-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,32,38,084084494481,084084494481,True,31.25,31.25,True,63.95,CLEAN
per_color_family,0b4dad47-b794-4880-bd33-92ce88a43eb0,M-Kon-1013MWZWK-32-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,32,40,084084821102,084084821102,True,31.25,31.25,True,63.95,CLEAN
per_color_family,dc723efd-eb6e-4abf-8876-63ca859168f2,M-Kon-1013MWZWK-33-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,33,30,084084494498,084084494498,True,30.0,30.0,True,59.95,CLEAN
per_color_family,5c59a86f-4c12-4fc2-8399-a8c527055962,M-Kon-1013MWZWK-33-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,33,34,084084494511,084084494511,True,30.0,30.0,True,59.95,CLEAN
per_color_family,baa513db-86b9-4126-85b4-63e3729e4b0c,M-Kon-1013MWZWK-33-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,33,36,084084494528,084084494528,True,30.0,30.0,True,59.95,CLEAN
per_color_family,65713bb8-4534-4dfd-8de1-6de60c4703e2,M-Kon-1013MWZWK-33-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,33,38,084084494535,084084494535,True,31.25,31.25,True,63.95,CLEAN
per_color_family,a1c465b2-7799-4cca-afab-0cf7e037ffe1,M-Kon-1013MWZWK-33-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,33,40,084084821119,084084821119,True,31.25,31.25,True,63.95,CLEAN
per_color_family,ef978ef7-5ca5-42da-947f-1294bfc4998a,M-Kon-1013MWZWK-34-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,34,30,084084494542,084084494542,True,30.0,30.0,True,59.95,CLEAN
per_color_family,21b53b50-f799-4cf9-be65-8c59ccf63fe0,M-Kon-1013MWZWK-34-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,34,34,084084494566,084084494566,True,30.0,30.0,True,59.95,CLEAN
per_color_family,4b92df10-8224-4d32-97d6-c3249c81b703,M-Kon-1013MWZWK-34-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,34,36,084084494573,084084494573,True,30.0,30.0,True,59.95,CLEAN
per_color_family,92098021-cbb6-4c64-b4d2-88960836a0e3,M-Kon-1013MWZWK-34-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,34,38,084084494580,084084494580,True,31.25,31.25,True,63.95,CLEAN
per_color_family,8c212a1f-fc59-4d57-91d4-4da2dfb36164,M-Kon-1013MWZWK-34-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,34,40,084084821126,084084821126,True,31.25,31.25,True,63.95,CLEAN
per_color_family,23ff6f40-6065-43b3-b5ab-51241f9fdf16,M-Kon-1013MWZWK-35-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,35,32,084084494597,084084494597,True,30.0,30.0,True,59.95,CLEAN
per_color_family,08e19750-f570-4c4d-8d22-7e396e00e978,M-Kon-1013MWZWK-35-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,35,34,084084494603,084084494603,True,30.0,30.0,True,59.95,CLEAN
per_color_family,383e8ba6-5a2c-4765-8ee6-33d233bffa66,M-Kon-1013MWZWK-35-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,35,36,084084494610,084084494610,True,30.0,30.0,True,59.95,CLEAN
per_color_family,48185896-b200-46f6-ad8a-7e888c480c13,M-Kon-1013MWZWK-36-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,36,34,084084494641,084084494641,True,30.0,30.0,True,59.95,CLEAN
per_color_family,bdccc5e2-8810-4cf2-8bf9-89e18baa2dd5,M-Kon-1013MWZWK-36-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,36,36,084084494658,084084494658,True,30.0,30.0,True,59.95,CLEAN
per_color_family,98dbd5dd-bde8-44f5-86ae-a8a6fdd35089,M-Kon-1013MWZWK-36-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,36,38,084084494665,084084494665,True,31.25,31.25,True,63.95,CLEAN
per_color_family,878a625f-34cc-4ed5-b95c-8020a9c1d672,M-Kon-1013MWZWK-36-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,36,40,084084821133,084084821133,True,31.25,31.25,True,63.95,CLEAN
per_color_family,e346d7b6-1ba4-41b8-b4f5-b3b28ebca248,M-Kon-1013MWZWK-37-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,37,30,051071769112,051071769112,True,30.0,30.0,True,59.95,CLEAN
per_color_family,eee2d5c8-49af-4b4f-bec4-fea50e9eacc1,M-Kon-1013MWZWK-37-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,37,32,051071769129,051071769129,True,30.0,30.0,True,59.95,CLEAN
per_color_family,924ef544-a928-4de5-96ce-b09ddbfa7bf0,M-Kon-1013MWZWK-37-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,37,34,051071769136,051071769136,True,30.0,30.0,True,59.95,CLEAN
per_color_family,f23ed8dd-6a48-4f26-ab3c-e711be6dfbeb,M-Kon-1013MWZWK-37-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,37,36,051071769143,051071769143,True,30.0,30.0,True,59.95,CLEAN
per_color_family,72c8ca3f-fbee-49da-ac48-c1f6d63e3db1,M-Kon-1013MWZWK-37-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,37,38,051071769150,051071769150,True,30.0,30.0,True,59.95,CLEAN
per_color_family,59882932-df60-421e-abb7-4347a0e697a8,M-Kon-1013MWZWK-38-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,38,30,084084494672,084084494672,True,30.0,30.0,True,59.95,CLEAN
per_color_family,8518c3a9-d2ef-42f8-baef-813eaf6bd73b,M-Kon-1013MWZWK-38-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,38,32,084084494689,084084494689,True,30.0,30.0,True,59.95,CLEAN
per_color_family,caff4252-6bc6-419f-9e6c-92c73da6fd30,M-Kon-1013MWZWK-38-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,38,34,084084494696,084084494696,True,30.0,30.0,True,59.95,CLEAN
per_color_family,81b273c9-91ad-489e-8bfe-905225b15638,M-Kon-1013MWZWK-38-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,38,36,084084494702,084084494702,True,30.0,30.0,True,59.95,CLEAN
per_color_family,aea09f76-9f3e-46c8-b9be-3720a7bca108,M-Kon-1013MWZWK-38-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,38,38,084084494719,084084494719,True,31.25,31.25,True,63.95,CLEAN
per_color_family,be7c7062-5ed9-49e3-8dea-d8c929cda82f,M-Kon-1013MWZWK-38-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,38,40,084084821140,084084821140,True,31.25,31.25,True,63.95,CLEAN
per_color_family,c31be632-0bcd-4c28-a60d-16ae2c07ae67,M-Kon-1013MWZWK-40-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,40,30,084084494726,084084494726,True,30.0,30.0,True,59.95,CLEAN
per_color_family,462dd628-9dc0-4c31-93c7-13d46fe371ce,M-Kon-1013MWZWK-40-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,40,32,084084494733,084084494733,True,30.0,30.0,True,59.95,CLEAN
per_color_family,31e73599-15b6-494a-968b-79632a86ee1a,M-Kon-1013MWZWK-40-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,40,34,084084494740,084084494740,True,30.0,30.0,True,59.95,CLEAN
per_color_family,893e8a85-dc70-4858-bab9-50612d90a097,M-Kon-1013MWZWK-40-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,40,36,084084494757,084084494757,True,30.0,30.0,True,59.95,CLEAN
per_color_family,0a815750-f910-4833-be4d-c15c6b02cee9,M-Kon-1013MWZWK-42-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,42,32,084084494771,084084494771,True,30.0,30.0,True,59.95,CLEAN
per_color_family,1c4d8e56-d82f-42d9-ad4e-f1287ccd9136,M-Kon-1013MWZWK-42-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,42,34,084084494788,084084494788,True,30.0,30.0,True,59.95,CLEAN
